profile,page,report,kept_blocks,skipped_blocks,fallback_blocks,ellipsis_outputs,qwen_used,qwen_rejected,qwen_repairs_attempted,qwen_repairs_accepted,qwen_fallback_attempted,qwen_fallback_accepted,qwen_page_used,qwen_page_rejected,layout_warning_blocks,layout_warning_types,vision_attempted,vision_accepted,vision_rejected,vision_json_repair_attempted,vision_json_repair_used,vision_reject_reasons,suspected_bad_translations
quality:text,1,quality-runs\vision-compare-20260524\quality-text\1.ocr.json,8,1,0,0,6,0,0,0,0,0,0,0,3,"{""excessive_line_count"": 2, ""overflow_height"": 1, ""render_box_touches_page_edge"": 2, ""text_clipped"": 1, ""text_outside_render_box"": 1, ""tiny_font"": 1}",0,0,0,0,0,{},0
quality:text,2,quality-runs\vision-compare-20260524\quality-text\2.ocr.json,9,0,0,0,7,0,0,0,0,0,0,0,4,"{""excessive_line_count"": 3, ""render_box_touches_page_edge"": 1}",0,0,0,0,0,{},0
quality:text,3,quality-runs\vision-compare-20260524\quality-text\3.ocr.json,6,1,0,0,6,0,0,0,0,0,0,0,4,"{""excessive_line_count"": 4}",0,0,0,0,0,{},0
quality:text,4,quality-runs\vision-compare-20260524\quality-text\4.ocr.json,9,1,0,0,9,0,0,0,0,0,0,0,3,"{""excessive_line_count"": 2, ""render_box_touches_page_edge"": 1}",0,0,0,0,0,{},0
quality:text,5,quality-runs\vision-compare-20260524\quality-text\5.ocr.json,5,0,0,0,5,0,1,1,0,0,0,0,2,"{""excessive_line_count"": 2}",0,0,0,0,0,{},0
quality:text,6,quality-runs\vision-compare-20260524\quality-text\6.ocr.json,6,2,0,0,6,0,0,0,0,0,0,0,2,"{""excessive_line_count"": 2}",0,0,0,0,0,{},0
quality:text,7,quality-runs\vision-compare-20260524\quality-text\7.ocr.json,9,2,0,0,8,1,1,0,0,0,0,0,3,"{""excessive_line_count"": 2, ""render_box_touches_page_edge"": 1}",0,0,0,0,0,{},0
quality:text,8,quality-runs\vision-compare-20260524\quality-text\8.ocr.json,11,0,0,0,9,0,3,3,0,0,0,0,3,"{""excessive_line_count"": 3}",0,0,0,0,0,{},0
quality:text,__total__,quality-runs\vision-compare-20260524\quality-text,63,7,0,0,56,1,5,4,0,0,0,0,24,"{""excessive_line_count"": 20, ""overflow_height"": 1, ""render_box_touches_page_edge"": 5, ""text_clipped"": 1, ""text_outside_render_box"": 1, ""tiny_font"": 1}",0,0,0,0,0,{},0
quality:vision-suspicious,1,quality-runs\vision-compare-20260524\quality-vision-suspicious\1.ocr.json,8,1,0,0,6,0,1,1,0,0,0,0,4,"{""excessive_line_count"": 3, ""overflow_height"": 1, ""render_box_touches_page_edge"": 2, ""text_clipped"": 1, ""text_outside_render_box"": 1, ""tiny_font"": 1}",4,0,4,4,0,"{""missing_line_id"": 4}",0
quality:vision-suspicious,2,quality-runs\vision-compare-20260524\quality-vision-suspicious\2.ocr.json,9,0,0,0,7,0,0,0,0,0,0,0,3,"{""excessive_line_count"": 2, ""render_box_touches_page_edge"": 1}",3,3,0,3,3,{},0
quality:vision-suspicious,3,quality-runs\vision-compare-20260524\quality-vision-suspicious\3.ocr.json,6,1,0,0,6,1,3,2,0,0,0,0,0,{},2,1,1,2,0,"{""missing_line_id"": 1}",0
quality:vision-suspicious,4,quality-runs\vision-compare-20260524\quality-vision-suspicious\4.ocr.json,9,1,0,0,9,0,1,1,0,0,0,0,3,"{""excessive_line_count"": 2, ""render_box_touches_page_edge"": 1}",4,4,0,0,0,{},0
quality:vision-suspicious,5,quality-runs\vision-compare-20260524\quality-vision-suspicious\5.ocr.json,5,0,0,0,5,0,0,0,0,0,0,0,3,"{""excessive_line_count"": 3}",3,1,2,3,0,"{""missing_line_id"": 2}",0
quality:vision-suspicious,6,quality-runs\vision-compare-20260524\quality-vision-suspicious\6.ocr.json,6,2,0,0,6,0,0,0,0,0,0,0,1,"{""excessive_line_count"": 1}",1,1,0,0,0,{},0
quality:vision-suspicious,7,quality-runs\vision-compare-20260524\quality-vision-suspicious\7.ocr.json,9,2,0,0,8,1,2,1,0,0,0,0,3,"{""excessive_line_count"": 2, ""render_box_touches_page_edge"": 1}",3,2,1,0,0,"{""render_worse"": 1}",0
quality:vision-suspicious,8,quality-runs\vision-compare-20260524\quality-vision-suspicious\8.ocr.json,11,0,0,0,9,0,1,1,0,0,0,0,4,"{""excessive_line_count"": 4}",4,0,4,4,0,"{""missing_line_id"": 4}",0
quality:vision-suspicious,__total__,quality-runs\vision-compare-20260524\quality-vision-suspicious,63,7,0,0,56,2,8,6,0,0,0,0,21,"{""excessive_line_count"": 17, ""overflow_height"": 1, ""render_box_touches_page_edge"": 5, ""text_clipped"": 1, ""text_outside_render_box"": 1, ""tiny_font"": 1}",24,12,12,16,3,"{""missing_line_id"": 11, ""render_worse"": 1}",0
