case_id	candidate_id	agent	candidate_quality_score	hard_reject	warnings	text
seed_clean_dialogue_001	seed_clean_dialogue_001__opus	opus	12186.40388	True		I can't help it...
seed_ellipsis_fragment_002	seed_ellipsis_fragment_002__verbose	qwen_block	551.5	False	oververbose	The speaker hesitates for a moment before continuing the conversation.
seed_sfx_reaction_003	seed_sfx_reaction_003__flat	opus	11665.25	True	glossary_violation:must_preserve:!	Don
seed_ambiguous_subject_004	seed_ambiguous_subject_004__hallucinated	opus	11312.8653	True		I wonder if John the teacher will come.
seed_honorific_005	seed_honorific_005__bad_name	opus	11469.25	True	glossary_violation:must_preserve:san	Mika, wait!
seed_glossary_006	seed_glossary_006__glossary_bad	opus	11550.2499	True	glossary_violation:starlight_pact,glossary_violation:must_preserve:Starlight Pact	Don't forget the star lamp contract.
seed_hallucination_trap_009	seed_hallucination_trap_009__hallucinated	opus	11310.25	True		John's teacher at school still doesn't know.
seed_assistant_chatter_010	seed_assistant_chatter_010__chatter	qwen_block	13664.0	True	oververbose	As an AI, I cannot translate this without more context.
seed_japanese_leakage_011	seed_japanese_leakage_011__leak	qwen_block	12045.0	True		早く行こう - let's go.
seed_oververbose_012	seed_oververbose_012__oververbose	qwen_page	543.00004	False	oververbose	In other words, after reflecting on all of the surrounding circumstances, the speaker has realized the deeper implication of the situation and is explaining that conclusion in detail.
